iter	RMSE
300	0.2169086132
301	0.2168933742
302	0.2168768055
303	0.2168740782
304	0.2168701836
305	0.2168656433
306	0.2168615668
307	0.2168498177
308	0.2168489971
309	0.2168470166
310	0.2168371174
311	0.216832892
312	0.2168229767
313	0.2168192501
314	0.2168139408
315	0.2168104882
316	0.2168018984
317	0.2168012715
318	0.2167901563
319	0.2167850221
320	0.2167778876
321	0.2167700238
322	0.2167576407
323	0.2167485023
324	0.2167479481
325	0.216743412
326	0.2167429095
327	0.2167424575
328	0.216733954
329	0.2167285502
330	0.2167185117
331	0.2167113533
332	0.2167078479
333	0.2167002517
334	0.216696915
335	0.2166807573
336	0.2166734587
337	0.216670042
338	0.2166683231
339	0.2166607821
340	0.2166592431
341	0.2166554522
342	0.2166448469
343	0.216639784
344	0.2166312173
345	0.2166256208
346	0.2166187251
347	0.2166172806
348	0.2166144177
349	0.2166034564
350	0.216597833
351	0.2165807381
352	0.2165692636
353	0.2165452067
354	0.216536718
355	0.2165323452
356	0.2165187798
357	0.2165013655
358	0.2164927469
359	0.2164864741
360	0.2164731733
361	0.216468348
362	0.2164654181
363	0.2164557911
364	0.2164523854
365	0.2164424888
366	0.2164362879
367	0.216422684
368	0.2164197887
369	0.2164157411
370	0.2164145393
371	0.2164094951
372	0.2163961416
373	0.2163883801
374	0.216379854
375	0.2163629508
376	0.2163556365
377	0.2163387256
378	0.2163358039
379	0.2163288976
380	0.2163219465
381	0.2163082777
382	0.2163058636
383	0.2162995649
384	0.2162895213
385	0.2162805729
386	0.2162743566
387	0.2162718438
388	0.2162594373
389	0.2162465573
390	0.216244169
391	0.2162355883
392	0.2162335478
393	0.2162238377
394	0.216222025
395	0.2162172152
396	0.2162053726
397	0.2161982469
398	0.2161911873
399	0.2161894377
400	0.2161838524
401	0.2161801695
402	0.2161790437
403	0.2161676194
404	0.2161610429
405	0.2161475104
406	0.2161363161
407	0.2161324683
408	0.2161308017
409	0.2161239601
410	0.2161214683
411	0.2161178671
412	0.2161099785
413	0.2161050819
414	0.2160917806
415	0.2160791472
416	0.216063679
417	0.2160614656
418	0.2160588836
419	0.2160316974
420	0.2160274504
421	0.2160191619
422	0.2160102826
423	0.2159978886
424	0.2159849182
425	0.2159700933
426	0.2159658588
427	0.2159584854
428	0.2159554971
429	0.2159482449
430	0.2159375629
431	0.2159307829
432	0.2159239245
433	0.2159222395
434	0.2159077785
435	0.2159039525
436	0.2159003979
437	0.2158939948
438	0.2158925279
439	0.2158883517
440	0.2158872468
441	0.2158786213
442	0.2158767083
443	0.2158553458
444	0.2158462424
445	0.2158415872
446	0.2158275029
447	0.2158216314
448	0.2158203437
449	0.2158054745
450	0.2158040833
451	0.2158024221
452	0.2157941258
453	0.2157849917
454	0.2157835145
455	0.2157704859
456	0.2157631236
457	0.2157583644
458	0.215748356
459	0.2157431984
460	0.2157328577
461	0.2157292795
462	0.2157229867
463	0.2157184465
464	0.2157173475
465	0.2157097348
466	0.2156902408
467	0.2156746143
468	0.2156730533
469	0.2156717611
470	0.2156706109
471	0.2156640062
472	0.2156618801
473	0.215643361
474	0.2156320753
475	0.2156303967
476	0.215616139
477	0.2156152328
478	0.2156138644
479	0.2156131326
480	0.215606166
481	0.2156044285
482	0.2155876782
483	0.2155863507
484	0.2155844135
485	0.215582711
486	0.2155762596
487	0.2155747124
488	0.2155661404
489	0.2155617766
490	0.2155541788
491	0.2155535912
492	0.215551625
493	0.2155461948
494	0.2155418577
495	0.2155333105
496	0.2155283988
497	0.2155256661
498	0.2155235371
499	0.2155125045
