iter	Passed	Remaining
236	6648	7377
237	6675	7348
238	6695	7312
239	6714	7274
240	6733	7236
241	6754	7200
242	6785	7176
243	6810	7145
244	6835	7114
245	6854	7077
246	6876	7043
247	6899	7010
248	6947	7003
249	6970	6970
250	6990	6935
251	7015	6903
252	7041	6874
253	7062	6839
254	7081	6803
255	7102	6769
256	7122	6734
257	7141	6699
258	7160	6663
259	7179	6627
260	7204	6597
261	7231	6568
262	7255	6538
263	7275	6503
264	7294	6468
265	7313	6433
266	7333	6399
267	7355	6367
268	7381	6338
269	7407	6310
270	7433	6281
271	7460	6254
272	7488	6226
273	7516	6199
274	7544	6172
275	7581	6152
276	7617	6132
277	7671	6125
278	7692	6093
279	7713	6060
280	7734	6027
281	7764	6002
282	7788	5972
283	7808	5938
284	7831	5907
285	7853	5876
286	7874	5843
287	7894	5811
288	7914	5778
289	7955	5760
290	7979	5730
291	7998	5697
292	8021	5666
293	8043	5635
294	8064	5604
295	8086	5572
296	8108	5542
297	8131	5511
298	8161	5486
299	8179	5453
300	8203	5423
301	8223	5391
302	8243	5359
303	8262	5326
304	8289	5299
305	8309	5267
306	8329	5236
307	8353	5207
308	8374	5176
309	8417	5159
310	8456	5139
311	8494	5118
312	8526	5094
313	8554	5067
314	8579	5038
315	8636	5028
316	8665	5002
317	8683	4969
318	8704	4938
319	8722	4906
320	8742	4875
321	8764	4844
322	8783	4813
323	8812	4787
324	8832	4755
325	8851	4724
326	8868	4692
327	8886	4660
328	8920	4636
329	8946	4609
330	9001	4596
331	9026	4567
332	9052	4539
333	9079	4512
334	9104	4484
335	9145	4463
336	9186	4443
337	9228	4423
338	9252	4394
339	9279	4366
340	9305	4338
341	9330	4310
342	9355	4282
343	9388	4257
344	9410	4227
345	9429	4196
346	9448	4166
347	9468	4135
348	9488	4105
349	9507	4074
350	9526	4044
351	9547	4014
352	9567	3984
353	9587	3953
354	9606	3923
355	9650	3903
356	9670	3873
357	9694	3845
358	9714	3815
359	9734	3785
360	9753	3755
361	9772	3725
362	9793	3696
363	9813	3666
364	9831	3636
365	9851	3606
366	9871	3577
367	9891	3547
368	9910	3518
369	9932	3489
370	9950	3460
371	9970	3430
372	10020	3411
373	10041	3382
374	10059	3353
375	10079	3323
376	10099	3294
377	10122	3267
378	10148	3240
379	10172	3212
380	10194	3184
381	10216	3155
382	10236	3127
383	10258	3098
384	10280	3070
385	10299	3041
386	10318	3012
387	10337	2984
388	10357	2955
389	10376	2926
390	10396	2898
391	10415	2869
392	10444	2843
393	10471	2817
394	10497	2790
395	10527	2764
396	10555	2738
397	10581	2711
398	10610	2685
399	10653	2663
400	10683	2637
401	10708	2610
402	10728	2582
403	10749	2554
404	10770	2526
405	10789	2498
406	10809	2470
407	10830	2442
408	10849	2413
409	10873	2386
410	10899	2360
411	10925	2333
412	10951	2307
413	10978	2280
414	11011	2255
415	11060	2233
416	11086	2206
417	11118	2181
418	11152	2155
419	11177	2128
420	11206	2102
421	11232	2076
422	11258	2049
423	11284	2022
424	11335	2000
425	11372	1975
426	11415	1951
427	11441	1924
428	11468	1897
429	11494	1871
430	11517	1843
431	11544	1817
432	11569	1790
433	11595	1763
434	11624	1737
435	11651	1710
436	11669	1682
437	11689	1654
438	11707	1626
439	11726	1599
440	11746	1571
441	11773	1544
442	11797	1518
443	11833	1492
444	11858	1465
445	11884	1438
446	11910	1412
447	11937	1385
448	11965	1359
449	11990	1332
450	12016	1305
451	12069	1281
452	12104	1255
453	12125	1228
454	12143	1201
455	12171	1174
456	12199	1147
457	12224	1120
458	12248	1094
459	12274	1067
460	12303	1040
461	12329	1014
462	12351	987
463	12371	959
464	12389	932
465	12410	905
466	12430	878
467	12449	851
468	12469	824
469	12487	797
470	12509	770
471	12535	743
472	12561	717
473	12618	692
474	12659	666
475	12710	640
476	12746	614
477	12765	587
478	12784	560
479	12803	533
480	12824	506
481	12844	479
482	12864	452
483	12883	425
484	12905	399
485	12925	372
486	12945	345
487	12965	318
488	12985	292
489	13005	265
490	13026	238
491	13044	212
492	13064	185
493	13127	159
494	13152	132
495	13178	106
496	13207	79
497	13243	53
498	13269	26
499	13296	0
